Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Folk,5,5,100.0,44,0,1,3,1,0,2,2,1,18.0,18.0,2.5%,TEN,5,2022
2,Chase McLaughlin,4,4,100.0,52,0,0,1,1,2,0,0,1,17.0,17.0,3.7%,TB,5,2022
3,Daniel Carlson,3,3,100.0,53,0,0,0,1,2,2,2,1,16.0,16.0,9.8%,LV,5,2022
4,Justin Tucker,4,4,100.0,58,0,1,1,1,1,1,1,1,16.0,16.0,99.8%,BAL,5,2022
5,Cairo Santos,3,3,100.0,51,0,0,0,1,2,1,1,1,15.0,15.0,28.4%,CHI,5,2022
6,Taylor Bertolet,3,3,100.0,28,0,3,0,0,0,3,3,1,12.0,12.0,0.0%,FA,5,2022
7,Ka'imi Fairbairn,2,2,100.0,51,0,0,0,0,2,1,1,1,11.0,11.0,89.8%,HOU,5,2022
8,Brandon McManus,3,4,75.0,45,0,0,1,2,0,0,0,1,11.0,11.0,0.1%,FA,5,2022
9,Brett Maher,3,3,100.0,40,0,0,2,1,0,1,1,1,11.0,11.0,0.0%,FA,5,2022
10,Mason Crosby,2,2,100.0,48,0,0,0,2,0,2,2,1,10.0,10.0,0.1%,FA,5,2022
11,Eddy Pineiro,3,4,75.0,43,0,0,2,1,0,0,0,1,10.0,10.0,2.8%,CAR,5,2022
12,Jason Myers,2,2,100.0,56,0,0,1,0,1,2,3,1,10.0,10.0,8.8%,SEA,5,2022
13,Graham Gano,2,2,100.0,48,0,0,1,1,0,3,3,1,10.0,10.0,1.0%,NYG,5,2022
14,Cameron Dicker,2,2,100.0,42,0,1,0,1,0,2,2,1,9.0,9.0,51.9%,LAC,5,2022
15,Wil Lutz,1,1,100.0,56,0,0,0,0,1,4,4,1,9.0,9.0,1.5%,DEN,5,2022
16,Ryan Succop,2,2,100.0,44,0,1,0,1,0,1,1,1,8.0,8.0,0.0%,FA,5,2022
17,Tyler Bass,1,2,50.0,35,0,0,1,0,0,5,5,1,8.0,8.0,40.1%,BUF,5,2022
18,Greg Zuerlein,1,1,100.0,34,0,0,1,0,0,5,5,1,8.0,8.0,52.1%,NYJ,5,2022
19,Matthew Wright,1,2,50.0,59,0,0,0,0,1,3,3,1,8.0,8.0,0.0%,FA,5,2022
20,Riley Patterson,2,2,100.0,45,0,1,0,1,0,0,0,1,7.0,7.0,0.1%,FA,5,2022
21,Joey Slye,1,1,100.0,50,0,0,0,0,1,2,2,1,7.0,7.0,0.2%,NE,5,2022
22,Robbie Gould,1,2,50.0,49,0,0,0,1,0,3,3,1,7.0,7.0,0.1%,FA,5,2022
23,Evan McPherson,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,6.0,88.7%,CIN,5,2022
24,Jason Sanders,1,2,50.0,46,0,0,0,1,0,2,2,1,6.0,6.0,49.7%,MIA,5,2022
25,Matt Ammendola,1,2,50.0,20,0,1,0,0,0,2,2,1,5.0,5.0,2.0%,FA,5,2022
26,Cade York,0,2,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.2%,WAS,5,2022
27,Matt Gay,1,2,50.0,29,0,1,0,0,0,1,1,1,4.0,4.0,30.7%,IND,5,2022
28,Randy Bullock,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,FA,5,2022
29,Greg Joseph,0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,5,2022
30,Chris Boswell,1,3,33.3,29,0,1,0,0,0,0,0,1,3.0,3.0,4.4%,PIT,5,2022
31,Younghoe Koo,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,79.8%,ATL,5,2022
32,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2022
