Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matt Prater,4,5,80.0,57,0,0,3,0,1,1,1,1,15.0,15.0,3.7%,ARI,17,2022
2,Robbie Gould,3,4,75.0,43,0,2,0,1,0,4,4,1,14.0,14.0,0.1%,FA,17,2022
3,Mason Crosby,2,2,100.0,56,0,1,0,0,1,5,5,1,13.0,13.0,0.1%,FA,17,2022
4,Daniel Carlson,2,2,100.0,57,0,1,0,0,1,4,4,1,12.0,12.0,9.8%,LV,17,2022
5,Chris Boswell,3,4,75.0,51,0,1,1,0,1,1,1,1,12.0,12.0,4.4%,PIT,17,2022
6,Michael Badgley,2,2,100.0,41,0,1,0,1,0,5,5,1,12.0,12.0,1.1%,DET,17,2022
7,Jason Myers,3,4,75.0,31,0,1,2,0,0,2,2,1,11.0,11.0,8.8%,SEA,17,2022
8,Brett Maher,2,2,100.0,45,0,0,1,1,0,3,3,1,10.0,10.0,0.0%,FA,17,2022
9,Wil Lutz,2,2,100.0,54,0,1,0,0,1,2,2,1,10.0,10.0,1.5%,DEN,17,2022
10,Riley Patterson,1,1,100.0,53,0,0,0,0,1,4,4,1,9.0,9.0,0.1%,FA,17,2022
11,Justin Tucker,2,2,100.0,51,0,0,1,0,1,1,1,1,9.0,9.0,99.8%,BAL,17,2022
12,Graham Gano,1,1,100.0,36,0,0,1,0,0,5,5,1,8.0,8.0,1.0%,NYG,17,2022
13,Younghoe Koo,2,2,100.0,27,0,2,0,0,0,2,2,1,8.0,8.0,79.8%,ATL,17,2022
14,Greg Zuerlein,2,3,66.7,44,0,0,0,2,0,0,0,1,8.0,8.0,52.1%,NYJ,17,2022
15,Cameron Dicker,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,51.9%,LAC,17,2022
16,Brandon McManus,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,0.1%,FA,17,2022
17,Eddy Pineiro,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,2.8%,CAR,17,2022
18,Randy Bullock,2,2,100.0,37,0,1,1,0,0,1,1,1,7.0,7.0,0.0%,FA,17,2022
19,Cade York,1,1,100.0,37,0,0,1,0,0,3,3,1,6.0,6.0,0.2%,WAS,17,2022
20,Jake Elliott,1,1,100.0,56,0,0,0,0,1,1,1,1,6.0,6.0,95.3%,PHI,17,2022
21,Nick Folk,1,1,100.0,49,0,0,0,1,0,2,3,1,6.0,6.0,2.5%,TEN,17,2022
22,Greg Joseph,1,3,33.3,21,0,1,0,0,0,2,2,1,5.0,5.0,0.1%,FA,17,2022
23,Joey Slye,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,0.2%,NE,17,2022
24,Ka'imi Fairbairn,1,1,100.0,56,0,0,0,0,1,0,0,1,5.0,5.0,89.8%,HOU,17,2022
25,Chase McLaughlin,1,2,50.0,23,0,1,0,0,0,1,1,1,4.0,4.0,3.7%,TB,17,2022
26,Matt Gay,1,1,100.0,23,0,1,0,0,0,1,1,1,4.0,4.0,30.7%,IND,17,2022
27,Cairo Santos,1,1,100.0,23,0,1,0,0,0,1,1,1,4.0,4.0,28.4%,CHI,17,2022
28,Ryan Succop,1,3,33.3,22,0,1,0,0,0,1,2,1,4.0,4.0,0.0%,FA,17,2022
29,Jason Sanders,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,49.7%,MIA,17,2022
30,Tyler Bass,1,1,100.0,25,0,1,0,0,0,0,0,1,3.0,3.0,40.1%,BUF,17,2022
31,Harrison Butker,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,98.8%,KC,17,2022
32,Evan McPherson,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,88.7%,CIN,17,2022
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,17,2022
