Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Folk,5,5,100.0,52,0,0,1,3,1,1,1,1,21.0,21.0,2.5%,TEN,8,2022
2,Younghoe Koo,3,3,100.0,41,0,0,2,1,0,4,4,1,14.0,14.0,79.8%,ATL,8,2022
3,Jason Myers,2,2,100.0,51,0,0,1,0,1,3,3,1,11.0,11.0,8.8%,SEA,8,2022
4,Chase McLaughlin,3,3,100.0,46,0,1,1,1,0,1,1,1,11.0,11.0,3.7%,TB,8,2022
5,Tyler Bass,2,2,100.0,42,0,0,1,1,0,3,3,1,10.0,10.0,40.1%,BUF,8,2022
6,Ryan Succop,3,3,100.0,31,0,1,2,0,0,1,1,1,10.0,10.0,0.0%,FA,8,2022
7,Michael Badgley,2,2,100.0,42,0,1,0,1,0,3,3,1,10.0,10.0,1.1%,DET,8,2022
8,Matt Prater,2,2,100.0,44,0,0,1,1,0,2,2,1,9.0,9.0,3.7%,ARI,8,2022
9,Justin Tucker,2,3,66.7,30,0,1,1,0,0,3,3,1,9.0,9.0,99.8%,BAL,8,2022
10,Eddy Pineiro,2,3,66.7,42,0,0,1,1,0,2,3,1,9.0,9.0,2.8%,CAR,8,2022
11,Graham Gano,2,2,100.0,45,0,0,1,1,0,1,1,1,8.0,8.0,1.0%,NYG,8,2022
12,Cade York,1,2,50.0,55,0,0,0,0,1,3,3,1,8.0,8.0,0.2%,WAS,8,2022
13,Jason Sanders,1,1,100.0,45,0,0,0,1,0,4,4,1,8.0,8.0,49.7%,MIA,8,2022
14,Nick Sciba,2,2,100.0,38,0,1,1,0,0,1,1,1,7.0,7.0,0.0%,FA,8,2022
15,Brett Maher,0,0,0.0,0,0,0,0,0,0,7,7,1,7.0,7.0,0.0%,FA,8,2022
16,Robbie Gould,1,1,100.0,29,0,1,0,0,0,4,4,1,7.0,7.0,0.1%,FA,8,2022
17,Wil Lutz,1,2,50.0,37,0,0,1,0,0,3,3,1,6.0,6.0,1.5%,DEN,8,2022
18,Joey Slye,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,5.0,0.2%,NE,8,2022
19,Cairo Santos,1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,5.0,28.4%,CHI,8,2022
20,Mason Crosby,1,2,50.0,38,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,FA,8,2022
21,Greg Zuerlein,1,2,50.0,28,0,1,0,0,0,2,2,1,5.0,5.0,52.1%,NYJ,8,2022
22,Randy Bullock,1,2,50.0,29,0,1,0,0,0,2,2,1,5.0,5.0,0.0%,FA,8,2022
23,Ka'imi Fairbairn,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,89.8%,HOU,8,2022
24,Riley Patterson,1,1,100.0,37,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,FA,8,2022
25,Jake Elliott,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,95.3%,PHI,8,2022
26,Greg Joseph,0,1,0.0,0,0,0,0,0,0,4,5,1,4.0,4.0,0.1%,FA,8,2022
27,Brandon McManus,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,8,2022
28,Matt Gay,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,30.7%,IND,8,2022
29,Evan McPherson,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,88.7%,CIN,8,2022
30,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,9.8%,LV,8,2022
31,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,8,2022
