Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Chase McLaughlin,5,5,100.0,52,0,3,0,1,1,3,3,1,21.0,21.0,3.7%,TB,15,2022
2,Matt Prater,3,3,100.0,55,0,0,0,1,2,0,0,1,14.0,14.0,3.7%,ARI,15,2022
3,Nick Folk,3,3,100.0,54,0,1,0,1,1,1,1,1,13.0,13.0,2.5%,TEN,15,2022
4,Graham Gano,2,2,100.0,50,0,0,0,0,2,2,2,1,12.0,12.0,1.0%,NYG,15,2022
5,Jason Sanders,3,3,100.0,47,0,1,1,1,0,2,2,1,12.0,12.0,49.7%,MIA,15,2022
6,Eddy Pineiro,3,3,100.0,52,0,1,1,0,1,1,1,1,12.0,12.0,2.8%,CAR,15,2022
7,Brett Maher,2,2,100.0,53,0,1,0,0,1,4,4,1,12.0,12.0,0.0%,FA,15,2022
8,Riley Patterson,2,2,100.0,48,0,0,1,1,0,4,4,1,11.0,11.0,0.1%,FA,15,2022
9,Evan McPherson,2,2,100.0,41,0,1,0,1,0,2,2,1,9.0,9.0,88.7%,CIN,15,2022
10,Jason Myers,2,2,100.0,51,0,0,1,0,1,1,1,1,9.0,9.0,8.8%,SEA,15,2022
11,Joey Slye,2,2,100.0,51,0,0,0,1,1,0,1,1,9.0,9.0,0.2%,NE,15,2022
12,Cade York,2,4,50.0,47,0,1,0,1,0,1,1,1,8.0,8.0,0.2%,WAS,15,2022
13,Chris Boswell,1,1,100.0,50,0,0,0,0,1,3,3,1,8.0,8.0,4.4%,PIT,15,2022
14,Brandon McManus,1,2,50.0,52,0,0,0,0,1,3,3,1,8.0,8.0,0.1%,FA,15,2022
15,Matt Gay,2,2,100.0,55,0,0,1,0,1,0,1,1,8.0,8.0,30.7%,IND,15,2022
16,Michael Badgley,2,3,66.7,34,0,0,2,0,0,2,2,1,8.0,8.0,1.1%,DET,15,2022
17,Greg Joseph,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,0.1%,FA,15,2022
18,Daniel Carlson,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,9.8%,LV,15,2022
19,Mason Crosby,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,15,2022
20,Tyler Bass,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,40.1%,BUF,15,2022
21,Cameron Dicker,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,51.9%,LAC,15,2022
22,Ka'imi Fairbairn,1,1,100.0,29,0,1,0,0,0,3,3,1,6.0,6.0,89.8%,HOU,15,2022
23,Justin Tucker,1,3,33.3,53,0,0,0,0,1,0,0,1,5.0,5.0,99.8%,BAL,15,2022
24,Greg Zuerlein,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,52.1%,NYJ,15,2022
25,Ryan Succop,1,2,50.0,21,0,1,0,0,0,2,2,1,5.0,5.0,0.0%,FA,15,2022
26,Jake Elliott,1,2,50.0,32,0,0,1,0,0,2,2,1,5.0,5.0,95.3%,PHI,15,2022
27,Younghoe Koo,1,1,100.0,28,0,1,0,0,0,1,1,1,4.0,4.0,79.8%,ATL,15,2022
28,Harrison Butker,1,2,50.0,27,0,1,0,0,0,1,2,1,4.0,4.0,98.8%,KC,15,2022
29,Robbie Gould,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,15,2022
30,Wil Lutz,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.5%,DEN,15,2022
31,Randy Bullock,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,15,2022
32,Cairo Santos,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,28.4%,CHI,15,2022
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,15,2022
