Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Younghoe Koo,4,5,80.0,54,0,1,0,1,2,2,2,1,19.0,19.0,79.8%,ATL,1,2022
2,Cade York,4,4,100.0,58,0,1,2,0,1,2,2,1,16.0,16.0,0.2%,WAS,1,2022
3,Ryan Succop,4,5,80.0,47,0,1,1,2,0,1,1,1,15.0,15.0,0.0%,FA,1,2022
4,Chris Boswell,3,4,75.0,53,0,1,0,1,1,2,2,1,14.0,14.0,4.4%,PIT,1,2022
5,Greg Joseph,3,3,100.0,56,0,2,0,0,1,2,2,1,13.0,13.0,0.1%,FA,1,2022
6,Riley Patterson,3,4,75.0,45,0,0,1,2,0,1,1,1,12.0,12.0,0.1%,FA,1,2022
7,Brandon McManus,3,4,75.0,40,0,1,1,1,0,1,1,1,11.0,11.0,0.1%,FA,1,2022
8,Ka'imi Fairbairn,2,2,100.0,45,0,0,0,2,0,2,2,1,10.0,10.0,89.8%,HOU,1,2022
9,Jason Sanders,2,2,100.0,49,0,0,0,2,0,2,2,1,10.0,10.0,49.7%,MIA,1,2022
10,Wil Lutz,2,3,66.7,51,0,0,0,1,1,1,1,1,10.0,10.0,1.5%,DEN,1,2022
11,Daniel Carlson,2,2,100.0,55,0,1,0,0,1,1,1,1,9.0,9.0,9.8%,LV,1,2022
12,Randy Bullock,2,3,66.7,46,0,1,0,1,0,2,2,1,9.0,9.0,0.0%,FA,1,2022
13,Rodrigo Blankenship,2,3,66.7,45,0,1,0,1,0,2,2,1,9.0,9.0,0.1%,FA,1,2022
14,Harrison Butker,1,1,100.0,54,0,0,0,0,1,4,4,1,9.0,9.0,98.8%,KC,1,2022
15,Tyler Bass,1,1,100.0,41,0,0,0,1,0,4,4,1,8.0,8.0,40.1%,BUF,1,2022
16,Jake Elliott,1,1,100.0,23,0,1,0,0,0,5,5,1,8.0,8.0,95.3%,PHI,1,2022
17,Evan McPherson,2,3,66.7,59,0,1,0,0,1,0,1,1,8.0,8.0,88.7%,CIN,1,2022
18,Dustin Hopkins,1,2,50.0,43,0,0,0,1,0,3,3,1,7.0,7.0,20.7%,CLE,1,2022
19,Eddy Pineiro,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,2.8%,CAR,1,2022
20,Justin Tucker,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,99.8%,BAL,1,2022
21,Matt Gay,1,1,100.0,57,0,0,0,0,1,1,1,1,6.0,6.0,30.7%,IND,1,2022
22,Jason Myers,1,1,100.0,49,0,0,0,1,0,2,2,1,6.0,6.0,8.8%,SEA,1,2022
23,Brett Maher,1,1,100.0,51,0,0,0,0,1,0,0,1,5.0,5.0,0.0%,FA,1,2022
24,Austin Seibert,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,1,2022
25,Robbie Gould,1,1,100.0,25,0,1,0,0,0,1,1,1,4.0,4.0,0.1%,FA,1,2022
26,Greg Zuerlein,1,2,50.0,45,0,0,0,1,0,0,1,1,4.0,4.0,52.1%,NYJ,1,2022
27,Joey Slye,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.2%,NE,1,2022
28,Nick Folk,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,2.5%,TEN,1,2022
29,Mason Crosby,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,1,2022
30,Cairo Santos,0,0,0.0,0,0,0,0,0,0,1,3,1,1.0,1.0,28.4%,CHI,1,2022
31,Matt Prater,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,3.7%,ARI,1,2022
32,Graham Gano,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0%,NYG,1,2022
