Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Carlos Dunlap II,3,3,1.5,0,0,0,0,0,1,20.3,20.3,3.0%,FA,9,2020
2,Trey Hendrickson,2,1,2.0,0,0,0,0,0,1,16.8,16.8,22.8%,CIN,9,2020
3,Shaq Lawson,2,1,0.0,0,0,0,1,1,1,16.3,16.3,0.0%,FA,9,2020
4,Emmanuel Ogbah,4,1,1.0,1,0,1,0,0,1,16.3,16.3,0.1%,MIA,9,2020
5,DaQuan Jones,4,3,0.5,0,0,0,0,0,1,15.3,15.3,0.1%,BUF,9,2020
6,Jarran Reed,2,2,2.0,0,0,0,0,0,1,15.0,15.0,1.4%,SEA,9,2020
7,Al-Quadin Muhammad,4,0,1.0,0,0,0,0,0,1,15.0,15.0,0.1%,FA,9,2020
8,Jerry Tillery,1,0,1.0,1,0,1,1,0,1,15.0,15.0,0.1%,MIN,9,2020
9,William Gholston,4,1,0.0,0,0,0,0,0,1,14.3,14.3,3.6%,TB,9,2020
10,Jeffery Simmons,3,0,0.0,1,0,1,1,0,1,14.0,14.0,43.3%,TEN,9,2020
11,Deatrich Wise Jr.,4,2,1.0,0,0,0,0,0,1,14.0,14.0,0.7%,NE,9,2020
12,Folorunso Fatukasi,4,3,0.0,0,0,1,0,0,1,12.3,12.3,0.1%,HOU,9,2020
13,Maxx Crosby,1,5,1.0,0,0,0,0,0,1,11.8,11.8,73.0%,LV,9,2020
14,Grover Stewart,3,1,0.0,1,0,0,0,0,1,11.8,11.8,1.0%,IND,9,2020
15,Mario Addison,3,1,1.0,0,0,0,0,0,1,11.8,11.8,4.0%,FA,9,2020
16,Daron Payne,5,2,0.0,0,0,0,0,0,1,11.5,11.5,6.4%,WAS,9,2020
17,J.J. Watt,2,0,1.0,0,0,1,0,0,1,11.0,11.0,4.2%,FA,9,2020
18,Haason Reddick,3,2,0.0,0,0,0,0,0,1,11.0,11.0,4.7%,NYJ,9,2020
19,Dre'Mont Jones,2,0,1.0,1,0,0,0,0,1,11.0,11.0,0.3%,SEA,9,2020
20,Jason Pierre-Paul,5,2,0.0,1,0,0,0,0,1,10.5,10.5,0.0%,FA,9,2020
21,Tarell Basham,3,1,0.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,9,2020
22,Carl Nassib,1,1,1.0,1,0,0,0,0,1,10.3,10.3,0.0%,FA,9,2020
23,Cameron Heyward,3,1,0.5,0,0,0,0,0,1,9.8,9.8,8.3%,PIT,9,2020
24,Brian Burns,2,0,1.0,0,0,0,0,0,1,9.5,9.5,24.4%,NYG,9,2020
25,Leonard Williams,1,2,1.0,0,0,0,0,0,1,9.5,9.5,6.6%,SEA,9,2020
26,DeMarcus Walker,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.4%,CHI,9,2020
27,Jerry Hughes,1,0,1.0,0,0,1,0,0,1,9.5,9.5,0.1%,HOU,9,2020
28,DeForest Buckner,2,3,0.0,0,0,1,0,0,1,9.3,9.3,28.3%,IND,9,2020
29,DeShawn Williams,4,1,0.0,0,0,0,0,0,1,9.3,9.3,0.1%,FA,9,2020
30,DeMarcus Lawrence,3,1,0.0,1,0,0,0,0,1,9.3,9.3,4.3%,DAL,9,2020
31,Tanoh Kpassagnon,4,1,0.0,0,0,0,0,0,1,9.3,9.3,0.0%,NO,9,2020
32,Denico Autry,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.8%,HOU,9,2020
33,Mario Edwards Jr.,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.1%,HOU,9,2020
34,Frank Clark,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,9,2020
35,Stephon Tuitt,4,0,0.0,0,0,0,0,0,1,8.5,8.5,0.1%,FA,9,2020
36,Tim Settle Jr.,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.1%,HOU,9,2020
37,Josh Mauro,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,9,2020
38,Malcom Brown,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,9,2020
