Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Calais Campbell,4,1,3.0,0,0,0,0,0,1,28.8,28.8,3.3%,MIA,6,2020
2,Haason Reddick,4,1,2.0,1,0,0,0,0,1,21.3,21.3,4.7%,NYJ,6,2020
3,Brandon Graham,5,1,2.0,0,0,0,0,0,1,21.3,21.3,0.2%,PHI,6,2020
4,Emmanuel Ogbah,3,2,2.0,0,0,0,0,0,1,19.0,19.0,0.1%,MIA,6,2020
5,J.J. Watt,4,0,1.0,1,0,1,0,0,1,18.0,18.0,4.2%,FA,6,2020
6,Jason Pierre-Paul,2,4,1.5,0,0,1,0,0,1,16.0,16.0,0.0%,FA,6,2020
7,DeForest Buckner,4,1,1.0,0,0,0,0,0,1,15.8,15.8,28.3%,IND,6,2020
8,Christian Wilkins,3,2,1.0,2,0,0,0,0,1,15.5,15.5,18.8%,LV,6,2020
9,Josh Sweat,3,2,0.0,1,0,0,0,0,1,15.0,15.0,4.2%,PHI,6,2020
10,Jeffery Simmons,4,2,1.0,0,0,0,0,0,1,14.0,14.0,43.3%,TEN,6,2020
11,Malik Jackson,2,2,1.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,6,2020
12,Xavier Williams,3,1,1.0,0,0,0,1,0,1,13.3,13.3,0.0%,FA,6,2020
13,Trey Flowers,2,3,1.0,0,0,1,0,0,1,13.3,13.3,0.0%,FA,6,2020
14,Cameron Heyward,6,2,0.0,0,0,0,0,0,1,13.0,13.0,8.3%,PIT,6,2020
15,Ifeadi Odenigbo,1,3,1.5,0,0,0,0,0,1,12.3,12.3,6.0%,FA,6,2020
16,Myles Garrett,3,1,1.0,0,0,0,0,0,1,11.8,11.8,54.5%,CLE,6,2020
17,Mario Addison,3,1,1.0,0,0,0,0,0,1,11.8,11.8,4.0%,FA,6,2020
18,Leonard Williams,2,3,1.0,0,0,0,0,0,1,11.8,11.8,6.6%,SEA,6,2020
19,Stephon Tuitt,3,1,0.5,0,0,1,0,0,1,11.3,11.3,0.1%,FA,6,2020
20,Jordan Phillips,2,0,0.0,0,0,1,1,0,1,11.0,11.0,0.1%,DAL,6,2020
21,Daron Payne,4,1,0.0,1,0,0,0,0,1,10.8,10.8,6.4%,WAS,6,2020
22,P.J. Hall,7,0,0.0,0,0,0,0,0,1,10.5,10.5,0.0%,FA,6,2020
