Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Aaron Donald,5,1,2.0,0,0,1,1,0,1,29.3,29.3,8.8%,FA,3,2020
2,Aldon Smith,4,0,3.0,1,0,0,0,0,1,24.5,24.5,0.0%,FA,3,2020
3,Carl Lawson,4,4,2.0,0,0,1,0,0,1,23.5,23.5,0.1%,DAL,3,2020
4,Brandon Graham,5,0,2.0,0,0,0,0,0,1,23.0,23.0,0.2%,PHI,3,2020
5,Chris Jones,3,2,2.0,0,0,2,0,0,1,22.0,22.0,11.9%,KC,3,2020
6,Myles Garrett,4,0,2.0,0,0,1,1,0,1,22.0,22.0,54.5%,CLE,3,2020
7,Shelby Harris,3,1,2.0,1,0,0,0,0,1,19.8,19.8,0.1%,CLE,3,2020
8,Derek Barnett,4,0,2.0,0,0,0,0,0,1,19.0,19.0,0.1%,HOU,3,2020
9,Kingsley Keke,2,0,2.0,1,0,1,0,0,1,19.0,19.0,1.0%,FA,3,2020
10,Deatrich Wise Jr.,3,2,0.5,0,0,0,1,1,1,18.0,18.0,0.7%,NE,3,2020
11,Jonathan Allen,6,3,1.0,0,0,0,0,0,1,17.8,17.8,6.1%,WAS,3,2020
12,Carlos Dunlap II,9,0,0.0,1,0,0,0,0,1,17.5,17.5,3.0%,FA,3,2020
13,Maxx Crosby,2,0,2.0,0,0,0,0,0,1,16.0,16.0,73.0%,LV,3,2020
14,Sam Hubbard,4,0,1.0,0,0,0,0,0,1,15.0,15.0,8.5%,CIN,3,2020
15,Montez Sweat,3,1,1.0,0,0,0,0,0,1,14.3,14.3,22.6%,CHI,3,2020
16,Grady Jarrett,3,1,1.0,0,0,0,0,0,1,14.3,14.3,1.8%,ATL,3,2020
17,Leonard Williams,2,3,1.0,0,0,0,0,0,1,14.3,14.3,6.6%,SEA,3,2020
18,Derrick Brown,4,1,0.0,0,0,0,0,0,1,14.3,14.3,26.1%,CAR,3,2020
19,Akiem Hicks,3,1,1.5,0,0,0,0,0,1,13.8,13.8,0.0%,FA,3,2020
20,Alton Robinson,3,0,1.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,3,2020
21,Yannick Ngakoue,2,0,1.0,0,0,1,0,0,1,13.5,13.5,1.6%,FA,3,2020
22,Sheldon Richardson,3,1,1.0,1,0,0,0,0,1,13.3,13.3,1.0%,FA,3,2020
23,Brian Burns,2,1,1.0,1,0,1,0,0,1,13.3,13.3,24.4%,NYG,3,2020
24,Brandon Williams,7,0,0.0,0,0,0,0,0,1,13.0,13.0,0.0%,FA,3,2020
25,Haason Reddick,3,0,1.0,1,0,0,0,0,1,12.5,12.5,4.7%,NYJ,3,2020
26,Jeffery Simmons,3,2,1.0,0,0,0,0,0,1,12.5,12.5,43.3%,TEN,3,2020
27,Dion Jordan,1,0,1.0,0,0,0,1,0,1,12.0,12.0,0.0%,FA,3,2020
28,Joey Bosa,2,0,1.0,0,0,0,0,0,1,12.0,12.0,6.3%,LAC,3,2020
29,Josh Hines-Allen,2,0,1.0,0,0,0,0,0,1,12.0,12.0,46.7%,JAC,3,2020
30,Jarran Reed,2,0,1.0,0,0,1,0,0,1,11.0,11.0,1.4%,SEA,3,2020
31,Dalvin Tomlinson,3,2,0.0,0,0,0,0,0,1,11.0,11.0,0.2%,CLE,3,2020
32,Corey Peters,2,2,1.0,0,0,0,0,0,1,11.0,11.0,2.0%,FA,3,2020
