Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,T.J. Hockenson,7,8,66,9.4,24,1,2,0,0,0,0,1,25.6,25.6,76.0%,MIN,2,2023
2,Hunter Henry,6,7,52,8.7,13,0,1,0,0,0,0,1,17.2,17.2,19.0%,NE,2,2023
3,Mark Andrews,5,8,45,9.0,20,1,1,0,0,0,0,1,15.5,15.5,99.8%,BAL,2,2023
4,Darren Waller,6,8,76,12.7,25,1,0,0,0,0,0,1,13.6,13.6,2.9%,FA,2,2023
5,Travis Kelce,4,9,26,6.5,9,0,1,0,0,0,0,1,12.6,12.6,100.0%,KC,2,2023
6,Evan Engram,6,8,57,9.5,17,0,0,0,0,0,0,1,11.7,11.7,97.1%,JAC,2,2023
7,Zach Ertz,6,8,56,9.3,17,0,0,0,0,0,0,1,11.6,11.6,3.1%,WAS,2,2023
8,Sam LaPorta,5,6,63,12.6,23,1,0,0,0,0,0,1,11.3,11.3,99.9%,DET,2,2023
9,Kylen Granson,3,4,16,5.3,11,0,1,0,0,0,0,1,10.6,10.6,0.4%,IND,2,2023
10,Logan Thomas,2,3,22,11.0,18,0,1,0,0,0,0,1,10.2,10.2,0.1%,FA,2,2023
11,Cade Otton,6,6,41,6.8,9,0,0,0,0,0,0,1,10.1,10.1,14.1%,TB,2,2023
12,Jake Ferguson,3,4,11,3.7,6,0,1,0,0,0,0,1,10.1,10.1,93.8%,DAL,2,2023
13,Tyler Conklin,5,6,50,10.0,17,0,0,0,0,0,0,1,10.0,10.0,29.0%,NYJ,2,2023
14,Dawson Knox,3,5,10,3.3,7,0,1,0,0,0,0,1,10.0,10.0,3.6%,BUF,2,2023
15,Noah Fant,4,4,56,14.0,31,1,0,0,0,0,0,1,9.6,9.6,19.4%,SEA,2,2023
16,Dalton Kincaid,5,6,43,8.6,14,0,0,0,0,0,0,1,9.3,9.3,97.7%,BUF,2,2023
17,Taysom Hill,1,2,-1,-1.0,0,0,0,9,75,0,0,1,8.7,8.7,45.9%,NO,2,2023
18,Jonnu Smith,4,6,47,11.8,17,0,0,0,0,0,0,1,8.7,8.7,5.5%,MIA,2,2023
19,Mike Gesicki,5,6,33,6.6,14,0,0,0,0,0,0,1,8.3,8.3,3.0%,CIN,2,2023
20,Dallas Goedert,6,7,22,3.7,9,0,0,0,0,0,0,1,8.2,8.2,86.6%,PHI,2,2023
21,Cole Kmet,4,6,38,9.5,11,0,0,0,0,0,0,1,7.8,7.8,56.2%,CHI,2,2023
22,Gerald Everett,3,3,47,15.7,29,1,0,0,0,0,0,1,7.7,7.7,0.8%,CHI,2,2023
23,John Bates,3,5,46,15.3,35,1,0,0,0,0,0,1,7.6,7.6,0.0%,WAS,2,2023
