Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Juwan Johnson,8,12,90,11.3,32,1,1,0,0,0,0,1,23.0,23.0,7.8%,NO,17,2023
2,Isaiah Likely,2,3,42,21.0,35,1,2,0,0,0,0,1,18.2,18.2,14.7%,BAL,17,2023
3,David Njoku,6,8,134,22.3,43,3,0,0,0,0,1,1,17.4,17.4,93.2%,CLE,17,2023
4,Dallas Goedert,5,6,47,9.4,23,1,1,0,0,0,0,1,15.7,15.7,86.6%,PHI,17,2023
5,Sam LaPorta,7,12,84,12.0,25,1,0,0,0,0,0,1,15.4,15.4,99.9%,DET,17,2023
6,Johnny Mundt,4,7,39,9.8,14,0,1,0,0,0,0,1,13.9,13.9,3.5%,MIN,17,2023
7,Dalton Kincaid,4,7,87,21.8,51,1,0,0,0,0,0,1,12.7,12.7,97.7%,BUF,17,2023
8,Tyler Higbee,6,7,62,10.3,18,0,0,0,0,0,0,1,12.2,12.2,1.3%,LAR,17,2023
9,Evan Engram,6,6,60,10.0,22,1,0,0,0,0,0,1,12.0,12.0,97.1%,JAC,17,2023
10,Taysom Hill,2,2,30,15.0,22,1,1,2,1,0,0,1,11.5,11.5,45.9%,NO,17,2023
11,Noah Fant,5,6,59,11.8,21,1,0,0,0,0,0,1,10.9,10.9,19.4%,SEA,17,2023
12,Trey McBride,6,7,48,8.0,26,1,0,0,0,0,0,1,10.8,10.8,98.8%,ARI,17,2023
13,Tucker Kraft,6,6,48,8.0,13,0,0,0,0,0,0,1,10.8,10.8,3.0%,GB,17,2023
14,Darren Waller,5,6,51,10.2,18,0,0,0,0,0,0,1,10.1,10.1,2.9%,FA,17,2023
15,Brevin Jordan,2,2,19,9.5,12,0,1,0,0,0,0,1,9.9,9.9,0.1%,HOU,17,2023
16,Tyler Conklin,5,5,45,9.0,20,1,0,0,0,0,0,1,9.5,9.5,29.0%,NYJ,17,2023
17,Charlie Kolar,1,1,19,19.0,19,0,1,0,0,0,0,1,8.9,8.9,0.0%,BAL,17,2023
18,Durham Smythe,3,3,54,18.0,22,1,0,0,0,0,0,1,8.4,8.4,0.1%,MIA,17,2023
19,Daniel Bellinger,4,4,39,9.8,18,0,0,0,0,0,0,1,7.9,7.9,0.3%,NYG,17,2023
20,Gerald Everett,4,9,31,7.8,22,1,0,1,6,0,0,1,7.7,7.7,0.8%,CHI,17,2023
21,Mike Gesicki,4,6,35,8.8,14,0,0,0,0,0,0,1,7.5,7.5,3.0%,CIN,17,2023
22,Pat Freiermuth,3,4,44,14.7,25,1,0,0,0,0,0,1,7.4,7.4,72.9%,PIT,17,2023
23,Jake Ferguson,4,6,33,8.3,9,0,0,0,0,0,0,1,7.3,7.3,93.8%,DAL,17,2023
24,Robert Tonyan,3,4,40,13.3,24,1,0,0,0,0,0,1,7.0,7.0,0.0%,MIN,17,2023
25,Tanner Hudson,3,7,38,12.7,15,0,0,0,0,0,0,1,6.8,6.8,0.1%,CIN,17,2023
26,Chigoziem Okonkwo,3,4,34,11.3,21,1,0,0,0,0,0,1,6.4,6.4,15.7%,TEN,17,2023
27,George Kittle,3,4,29,9.7,18,0,0,0,0,0,0,1,5.9,5.9,99.1%,SF,17,2023
28,Colby Parkinson,2,3,38,19.0,20,1,0,0,0,0,0,1,5.8,5.8,3.1%,LAR,17,2023
29,Austin Hooper,3,3,28,9.3,13,0,0,0,0,0,0,1,5.8,5.8,0.2%,NE,17,2023
30,Drew Sample,3,4,21,7.0,11,0,0,0,0,0,0,1,5.1,5.1,0.1%,CIN,17,2023
31,Logan Thomas,3,4,20,6.7,8,0,0,0,0,0,0,1,5.0,5.0,0.1%,FA,17,2023
32,Kenny Yeboah,2,3,28,14.0,20,1,0,0,0,0,0,1,4.8,4.8,0.0%,NYJ,17,2023
33,Noah Gray,3,4,17,5.7,16,0,0,0,0,0,0,1,4.7,4.7,0.4%,KC,17,2023
34,Travis Kelce,3,4,16,5.3,10,0,0,0,0,0,0,1,4.6,4.6,100.0%,KC,17,2023
35,Stone Smartt,2,2,23,11.5,18,0,0,0,0,0,0,1,4.3,4.3,0.0%,LAC,17,2023
36,Elijah Higgins,2,2,21,10.5,14,0,0,0,0,0,0,1,4.1,4.1,0.1%,ARI,17,2023
37,Dalton Schultz,2,4,19,9.5,12,0,0,0,0,0,0,1,3.9,3.9,79.8%,HOU,17,2023
38,Mo Alie-Cox,2,3,18,9.0,14,0,0,0,0,0,0,1,3.8,3.8,0.1%,IND,17,2023
39,Jordan Akins,1,1,28,28.0,28,1,0,0,0,0,0,1,3.8,3.8,0.1%,CLE,17,2023
40,Lucas Krull,2,2,14,7.0,11,0,0,0,0,0,0,1,3.4,3.4,0.0%,DEN,17,2023
41,Harrison Bryant,2,3,14,7.0,9,0,0,0,0,0,0,1,3.4,3.4,0.0%,LV,17,2023
42,Cade Otton,2,6,10,5.0,6,0,0,0,0,0,0,1,3.0,3.0,14.1%,TB,17,2023
43,Will Mallory,1,1,19,19.0,19,0,0,0,0,0,0,1,2.9,2.9,0.0%,IND,17,2023
44,Josh Oliver,1,2,17,17.0,17,0,0,0,0,0,0,1,2.7,2.7,0.1%,MIN,17,2023
45,MyCole Pruitt,1,1,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,0.0%,PIT,17,2023
46,Foster Moreau,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,NO,17,2023
47,Kylen Granson,1,3,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.4%,IND,17,2023
48,Adam Trautman,1,2,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.1%,DEN,17,2023
49,Julian Hill,1,1,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.0%,MIA,17,2023
50,Luke Farrell,1,1,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,JAC,17,2023
51,John Bates,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,WAS,17,2023
52,Tommy Tremble,1,3,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.1%,CAR,17,2023
53,Kevin Rader,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,NO,17,2023
54,Ben Sims,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,GB,17,2023
55,Peyton Hendershot,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,KC,17,2023
56,Kyle Pitts,1,5,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,97.2%,ATL,17,2023
57,James Mitchell,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,DET,17,2023
58,Eric Saubert,1,1,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.0%,SF,17,2023
59,Brenton Strange,1,2,1,1.0,1,0,0,0,0,0,0,1,1.1,1.1,0.0%,JAC,17,2023
60,Donald Parham Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,17,2023
61,Mitchell Fraboni,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DEN,17,2023
62,Matt Sokol,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,17,2023
