Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Deshaun Watson,30,42,71.4,280,6.7,1,2,0,10,42,2,0,1,31.4,31.4,38.9%,CLE,6,2019
2,Matt Ryan,30,36,83.3,356,9.9,4,0,2,2,7,0,0,1,30.9,30.9,0.1%,FA,6,2019
3,Lamar Jackson,21,33,63.6,236,7.2,0,0,1,19,152,1,0,1,30.6,30.6,99.9%,BAL,6,2019
4,Russell Wilson,23,33,69.7,295,8.9,2,0,3,9,31,1,0,1,28.9,28.9,6.9%,PIT,6,2019
5,Kyler Murray,27,37,73.0,340,9.2,3,0,0,11,32,0,0,1,28.8,28.8,94.7%,ARI,6,2019
6,Kirk Cousins,22,29,75.9,333,11.5,4,1,1,2,0,0,0,1,28.3,28.3,64.2%,ATL,6,2019
7,Tom Brady,31,41,75.6,334,8.1,0,1,3,7,6,2,1,1,23.0,23.0,2.7%,FA,6,2019
8,Baker Mayfield,22,37,59.5,249,6.7,1,3,0,4,35,1,0,1,22.5,22.5,31.7%,TB,6,2019
9,Carson Wentz,26,40,65.0,306,7.7,2,1,2,2,23,0,0,1,21.5,21.5,0.2%,KC,6,2019
10,Sam Darnold,23,32,71.9,338,10.6,2,1,2,5,1,0,0,1,20.6,20.6,6.3%,MIN,6,2019
11,Patrick Mahomes II,19,35,54.3,273,7.8,3,1,1,1,-1,0,1,1,19.8,19.8,99.9%,KC,6,2019
12,Aaron Rodgers,24,39,61.5,283,7.3,2,1,1,3,10,0,0,1,19.3,19.3,72.2%,NYJ,6,2019
13,Dak Prescott,28,40,70.0,278,7.0,0,0,1,3,11,1,0,1,18.2,18.2,96.3%,DAL,6,2019
14,Kyle Allen,20,32,62.5,227,7.1,2,0,2,3,3,0,0,1,17.4,17.4,0.0%,PIT,6,2019
15,Jameis Winston,30,54,55.6,400,7.4,1,5,7,1,1,0,1,1,17.1,17.1,0.6%,CLE,6,2019
16,Philip Rivers,26,44,59.1,320,7.3,2,2,1,1,0,0,1,1,16.8,16.8,20.6%,FA,6,2019
17,Case Keenum,13,25,52.0,166,6.6,2,0,0,4,10,0,0,1,15.6,15.6,0.0%,HOU,6,2019
18,Andy Dalton,21,39,53.8,235,6.0,0,1,2,1,2,1,0,1,14.6,14.6,0.1%,CAR,6,2019
19,Teddy Bridgewater,24,36,66.7,240,6.7,1,0,3,3,0,0,0,1,13.6,13.6,0.0%,FA,6,2019
20,Jimmy Garoppolo,24,33,72.7,243,7.4,0,1,2,5,4,1,1,1,13.1,13.1,0.1%,LAR,6,2019
21,Matthew Stafford,18,32,56.3,265,8.3,0,0,3,3,9,0,0,1,11.5,11.5,49.9%,LAR,6,2019
22,Ryan Fitzpatrick,12,18,66.7,132,7.3,1,0,0,2,5,0,0,1,9.8,9.8,0.0%,FA,6,2019
23,Devlin Hodges,15,20,75.0,132,6.6,1,1,0,3,8,0,0,1,9.1,9.1,0.0%,FA,6,2019
24,Daniel Jones,15,31,48.4,161,5.2,1,3,1,2,8,0,0,1,8.2,8.2,7.4%,NYG,6,2019
25,Joe Flacco,18,28,64.3,177,6.3,0,1,1,4,-1,0,0,1,6.0,6.0,0.7%,IND,6,2019
26,Gardner Minshew II,14,29,48.3,163,5.6,0,1,2,2,1,0,0,1,5.6,5.6,3.9%,LV,6,2019
27,Ryan Tannehill,13,16,81.3,144,9.0,0,1,4,1,6,0,0,1,5.4,5.4,0.1%,FA,6,2019
28,Taysom Hill,0,0,0.0,0,0.0,0,0,0,3,17,0,0,1,1.7,1.7,45.9%,NO,6,2019
29,Josh Rosen,15,25,60.0,85,3.4,0,2,5,0,0,0,0,1,1.4,1.4,0.0%,FA,6,2019
30,Jared Goff,13,24,54.2,78,3.3,0,0,4,1,0,0,1,1,1.1,1.1,73.4%,DET,6,2019
31,Marcus Mariota,7,18,38.9,63,3.5,0,2,3,2,4,0,0,1,0.9,0.9,0.1%,WAS,6,2019
32,Josh McCown,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2019
33,Matt Schaub,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2019
