Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Lamar Jackson,15,23,65.2,212,9.2,5,0,1,8,86,0,0,1,37.1,37.1,99.9%,BAL,15,2019
2,Jameis Winston,28,42,66.7,458,10.9,4,1,2,2,4,0,0,1,33.7,33.7,0.6%,CLE,15,2019
3,Drew Brees,29,30,96.7,307,10.2,4,0,0,0,0,0,0,1,28.3,28.3,35.7%,FA,15,2019
4,Ryan Tannehill,22,36,61.1,279,7.8,2,1,2,3,10,1,0,1,25.2,25.2,0.1%,FA,15,2019
5,Patrick Mahomes II,27,34,79.4,340,10.0,2,1,3,3,11,0,0,1,23.7,23.7,99.9%,KC,15,2019
6,Carson Wentz,30,43,69.8,266,6.2,3,0,2,3,9,0,1,1,21.5,21.5,0.2%,KC,15,2019
7,Ryan Fitzpatrick,23,41,56.1,279,6.8,2,0,3,4,33,0,1,1,20.5,20.5,0.0%,FA,15,2019
8,Russell Wilson,20,26,76.9,286,11.0,2,0,2,3,-1,0,0,1,19.3,19.3,6.9%,PIT,15,2019
9,Matt Ryan,25,39,64.1,210,5.4,2,0,2,5,27,0,0,1,19.1,19.1,0.1%,FA,15,2019
10,Dwayne Haskins,19,28,67.9,261,9.3,2,0,1,3,26,0,1,1,19.0,19.0,0.1%,FA,15,2019
11,Deshaun Watson,19,27,70.4,243,9.0,2,2,1,7,32,0,0,1,18.9,18.9,38.9%,CLE,15,2019
12,Gardner Minshew II,17,29,58.6,201,6.9,2,0,2,5,27,0,0,1,18.7,18.7,3.9%,LV,15,2019
13,Jared Goff,33,51,64.7,284,5.6,2,1,2,3,2,0,0,1,18.6,18.6,73.4%,DET,15,2019
14,Mitchell Trubisky,29,53,54.7,334,6.3,1,2,3,4,29,0,0,1,18.3,18.3,0.1%,BUF,15,2019
15,Baker Mayfield,30,43,69.8,247,5.7,2,1,1,2,11,0,0,1,18.0,18.0,31.7%,TB,15,2019
16,Dak Prescott,15,23,65.2,212,9.2,2,0,0,7,12,0,0,1,17.7,17.7,96.3%,DAL,15,2019
17,Josh Allen,13,25,52.0,139,5.6,1,1,1,7,28,1,0,1,17.4,17.4,100.0%,BUF,15,2019
18,Kyler Murray,19,25,76.0,219,8.8,1,1,0,8,56,0,0,1,17.4,17.4,94.7%,ARI,15,2019
19,Sam Darnold,18,32,56.3,218,6.8,2,1,1,1,11,0,1,1,16.8,16.8,6.3%,MIN,15,2019
20,Eli Manning,20,28,71.4,283,10.1,2,3,1,0,0,0,0,1,16.3,16.3,2.3%,FA,15,2019
21,Derek Carr,22,36,61.1,267,7.4,1,0,4,1,12,0,0,1,15.9,15.9,7.1%,NO,15,2019
22,Kyle Allen,25,41,61.0,277,6.8,1,3,1,5,25,0,0,1,14.6,14.6,0.0%,PIT,15,2019
23,Aaron Rodgers,16,33,48.5,203,6.2,1,0,1,3,23,0,0,1,14.4,14.4,72.2%,NYJ,15,2019
24,Tom Brady,15,29,51.7,128,4.4,2,0,2,2,-2,0,0,1,12.9,12.9,2.7%,FA,15,2019
25,Kirk Cousins,19,25,76.0,207,8.3,1,1,0,3,14,0,0,1,12.7,12.7,64.2%,ATL,15,2019
26,Jimmy Garoppolo,22,34,64.7,200,5.9,1,0,1,2,6,0,0,1,12.6,12.6,0.1%,LAR,15,2019
27,Taysom Hill,0,0,0.0,0,0.0,0,0,0,2,1,0,0,1,12.3,12.3,45.9%,NO,15,2019
28,Philip Rivers,28,39,71.8,307,7.9,1,3,3,0,0,0,1,1,11.3,11.3,20.6%,FA,15,2019
29,David Blough,24,43,55.8,260,6.0,0,2,2,5,19,0,0,1,10.3,10.3,0.0%,FA,15,2019
30,Devlin Hodges,23,38,60.5,202,5.3,1,4,4,1,4,0,0,1,8.5,8.5,0.0%,FA,15,2019
31,Drew Lock,18,40,45.0,208,5.2,0,1,2,2,3,0,0,1,7.6,7.6,0.1%,NYG,15,2019
32,Jacoby Brissett,18,34,52.9,165,4.9,0,0,1,1,7,0,0,1,7.3,7.3,0.9%,NE,15,2019
33,Andy Dalton,17,31,54.8,151,4.9,1,4,0,2,1,0,0,1,6.1,6.1,0.1%,CAR,15,2019
34,Robert Griffin III,0,1,0.0,0,0.0,0,0,0,4,6,0,0,1,0.6,0.6,1.0%,FA,15,2019
35,Alex Tanney,1,1,100.0,1,1.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,15,2019
36,Cooper Rush,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,DAL,15,2019
37,Ryan Griffin,0,0,0.0,0,0.0,0,0,0,4,-1,0,0,1,-0.1,-0.1,0.0%,FA,15,2019
38,Sean Mannion,0,0,0.0,0,0.0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.0%,FA,15,2019
39,Teddy Bridgewater,0,0,0.0,0,0.0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.0%,FA,15,2019
