Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Los Angeles Chargers,5,0,1,2,0,0,0,1,17.0,17.0,9.6%,LAC,13,2023
2,Indianapolis Colts,6,0,2,3,0,0,1,1,17.0,17.0,6.9%,IND,13,2023
3,Atlanta Falcons,4,1,2,4,0,0,0,1,14.0,14.0,11.4%,ATL,13,2023
4,Miami Dolphins,3,1,0,1,1,0,0,1,12.0,12.0,77.9%,MIA,13,2023
5,Houston Texans,3,3,0,0,0,0,0,1,10.0,10.0,36.0%,HOU,13,2023
6,Tennessee Titans,3,0,2,1,0,0,0,1,9.0,9.0,1.1%,TEN,13,2023
7,New York Jets,3,0,0,1,0,1,0,1,9.0,9.0,94.9%,NYJ,13,2023
8,Tampa Bay Buccaneers,4,1,0,1,0,0,0,1,7.0,7.0,6.5%,TB,13,2023
9,Los Angeles Rams,2,1,0,0,0,1,0,1,7.0,7.0,1.4%,LAR,13,2023
10,New England Patriots,0,0,0,0,0,0,0,1,7.0,7.0,2.9%,NE,13,2023
11,Arizona Cardinals,0,0,1,0,0,0,0,1,6.0,6.0,0.4%,ARI,13,2023
12,Green Bay Packers,3,1,0,0,0,0,0,1,6.0,6.0,10.2%,GB,13,2023
13,Detroit Lions,2,1,1,0,0,0,0,1,5.0,5.0,40.6%,DET,13,2023
14,Denver Broncos,5,0,0,1,0,0,0,1,5.0,5.0,7.8%,DEN,13,2023
15,San Francisco 49ers,3,0,0,0,0,0,0,1,4.0,4.0,99.0%,SF,13,2023
16,Carolina Panthers,1,1,0,0,0,0,0,1,3.0,3.0,1.0%,CAR,13,2023
17,Cincinnati Bengals,4,0,0,1,0,0,0,1,3.0,3.0,58.3%,CIN,13,2023
18,Jacksonville Jaguars,2,1,0,0,0,0,0,1,3.0,3.0,19.9%,JAC,13,2023
19,Kansas City Chiefs,2,0,0,0,0,0,0,1,2.0,2.0,79.3%,KC,13,2023
20,Pittsburgh Steelers,2,0,0,1,0,0,0,1,2.0,2.0,91.3%,PIT,13,2023
21,Minnesota Vikings,0,0,0,0,0,0,0,0,0.0,0.0,33.7%,MIN,13,2023
22,New Orleans Saints,1,0,0,0,0,0,0,1,0.0,0.0,64.3%,NO,13,2023
23,New York Giants,0,0,0,0,0,0,0,0,0.0,0.0,3.3%,NYG,13,2023
24,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,6.5%,LV,13,2023
25,Chicago Bears,0,0,0,0,0,0,0,0,0.0,0.0,46.1%,CHI,13,2023
26,Seattle Seahawks,4,0,0,0,0,0,0,1,0.0,0.0,32.1%,SEA,13,2023
27,Buffalo Bills,0,0,0,0,0,0,0,0,0.0,0.0,51.7%,BUF,13,2023
28,Baltimore Ravens,0,0,0,0,0,0,0,0,0.0,0.0,97.7%,BAL,13,2023
29,Dallas Cowboys,1,1,0,0,0,0,0,1,-1.0,-1.0,98.7%,DAL,13,2023
30,Philadelphia Eagles,2,0,0,0,0,0,0,1,-2.0,-2.0,43.3%,PHI,13,2023
31,Cleveland Browns,0,0,0,0,0,0,0,1,-4.0,-4.0,97.8%,CLE,13,2023
32,Washington Commanders,0,0,0,0,0,0,0,1,-4.0,-4.0,1.0%,WAS,13,2023
