Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Travis Kelce,8,12,109,13.6,25,2,1,0,0,0,0,1,24.9,24.9,100.0%,KC,8,2020
2,Jared Cook,5,7,51,10.2,16,0,1,0,0,0,0,1,16.1,16.1,0.0%,FA,8,2020
3,Eric Ebron,4,5,48,12.0,18,0,1,0,0,0,0,1,14.8,14.8,0.0%,FA,8,2020
4,Rob Gronkowski,4,4,41,10.3,18,0,1,0,0,0,0,1,14.1,14.1,1.5%,FA,8,2020
5,T.J. Hockenson,7,10,65,9.3,15,0,0,0,0,0,0,1,13.5,13.5,76.0%,MIN,8,2020
6,Robert Tonyan,5,7,79,15.8,45,1,0,0,0,0,0,1,12.9,12.9,0.0%,MIN,8,2020
7,Evan Engram,5,10,61,12.2,30,1,0,1,9,0,0,1,12.0,12.0,97.1%,JAC,8,2020
8,Noah Fant,7,9,47,6.7,12,0,0,0,0,0,0,1,11.7,11.7,19.4%,SEA,8,2020
9,Dalton Schultz,6,8,53,8.8,15,0,0,0,0,0,0,1,11.3,11.3,79.8%,HOU,8,2020
10,Hayden Hurst,5,7,54,10.8,18,0,0,0,0,0,0,1,10.4,10.4,2.2%,LAC,8,2020
11,Trey Burton,3,4,9,3.0,8,0,0,1,2,1,0,1,10.1,10.1,0.0%,FA,8,2020
12,Jack Doyle,2,3,18,9.0,11,0,1,0,0,0,0,1,9.8,9.8,2.0%,FA,8,2020
13,Ross Dwelley,1,4,16,16.0,16,0,1,0,0,0,0,1,8.6,8.6,0.0%,ATL,8,2020
14,Gerald Everett,5,9,32,6.4,11,0,0,0,0,0,0,1,8.2,8.2,0.8%,CHI,8,2020
15,Albert Okwuegbunam Jr.,1,1,9,9.0,9,0,1,0,0,0,0,1,7.9,7.9,0.1%,PHI,8,2020
16,Darren Waller,5,6,27,5.4,7,0,0,0,0,0,0,1,7.7,7.7,2.9%,FA,8,2020
17,Jace Sternberger,3,4,46,15.3,27,1,0,0,0,0,0,1,7.6,7.6,0.0%,FA,8,2020
18,Hunter Henry,4,4,33,8.3,13,0,0,0,0,0,0,1,7.3,7.3,19.0%,NE,8,2020
19,Mo Alie-Cox,3,4,37,12.3,15,0,0,0,0,0,0,1,6.7,6.7,0.1%,IND,8,2020
20,Mark Andrews,3,6,32,10.7,18,0,0,0,0,0,0,1,6.2,6.2,99.8%,BAL,8,2020
21,George Kittle,2,4,39,19.5,25,1,0,0,0,0,0,1,5.9,5.9,99.1%,SF,8,2020
22,Ian Thomas,3,3,28,9.3,21,1,0,0,0,0,0,1,5.8,5.8,0.0%,CAR,8,2020
23,Anthony Firkser,2,3,36,18.0,26,1,0,0,0,0,0,1,5.6,5.6,0.0%,NYJ,8,2020
24,Cameron Brate,2,2,35,17.5,25,1,0,0,0,0,0,1,5.5,5.5,2.0%,FA,8,2020
25,Jonnu Smith,2,2,29,14.5,19,0,0,0,0,0,0,1,4.9,4.9,5.5%,MIA,8,2020
