Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Darren Waller,12,16,105,8.8,18,0,1,0,0,0,0,1,28.5,28.5,2.9%,FA,2,2020
2,Tyler Higbee,5,5,54,10.8,28,1,3,0,0,0,0,1,28.4,28.4,1.3%,LAR,2,2020
3,Mike Gesicki,8,11,130,16.3,27,2,1,0,0,0,0,1,27.0,27.0,3.0%,CIN,2,2020
4,Jonnu Smith,4,5,84,21.0,63,1,2,0,0,0,0,1,24.4,24.4,5.5%,MIA,2,2020
5,Jordan Reed,7,8,50,7.1,18,0,2,0,0,0,0,1,24.0,24.0,19.0%,FA,2,2020
6,Travis Kelce,9,14,90,10.0,20,1,1,0,0,0,0,1,24.0,24.0,100.0%,KC,2,2020
7,Dalton Schultz,9,10,88,9.8,18,0,1,0,0,0,1,1,21.8,21.8,79.8%,HOU,2,2020
8,Hayden Hurst,5,8,72,14.4,42,2,1,0,0,0,0,1,18.2,18.2,2.2%,LAC,2,2020
9,Noah Fant,4,5,57,14.3,22,2,1,0,0,0,0,1,17.7,17.7,19.4%,SEA,2,2020
10,Mo Alie-Cox,5,6,111,22.2,33,3,0,0,0,0,0,1,16.1,16.1,0.1%,IND,2,2020
11,Hunter Henry,6,8,83,13.8,22,1,0,0,0,0,0,1,14.3,14.3,19.0%,NE,2,2020
12,C.J. Uzomah,4,6,42,10.5,23,1,1,0,0,0,0,1,14.2,14.2,0.0%,FA,2,2020
13,Tyler Eifert,3,6,36,12.0,19,0,1,0,0,0,0,1,12.6,12.6,0.0%,FA,2,2020
14,Evan Engram,6,8,65,10.8,22,1,0,0,0,0,0,1,12.5,12.5,97.1%,JAC,2,2020
15,Jordan Akins,7,7,55,7.9,12,0,0,0,0,0,0,1,12.5,12.5,0.1%,CLE,2,2020
16,Drew Sample,7,9,45,6.4,10,0,0,0,0,0,0,1,11.5,11.5,0.1%,CIN,2,2020
17,Robert Tonyan,2,3,25,12.5,14,0,1,0,0,0,0,1,10.5,10.5,0.0%,MIN,2,2020
18,Darren Fells,2,4,23,11.5,13,0,1,0,0,0,0,1,10.3,10.3,0.0%,FA,2,2020
19,T.J. Hockenson,4,4,62,15.5,29,1,0,0,0,0,0,1,10.2,10.2,76.0%,MIN,2,2020
20,Jared Cook,2,5,13,6.5,7,0,1,0,0,0,0,1,9.3,9.3,0.0%,FA,2,2020
21,Zach Ertz,5,7,42,8.4,12,0,0,0,0,0,0,1,9.2,9.2,3.1%,WAS,2,2020
22,Anthony Firkser,4,4,45,11.3,16,0,0,0,0,0,0,1,8.5,8.5,0.0%,NYJ,2,2020
23,James O'Shaughnessy,4,4,40,10.0,13,0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,2,2020
24,Eric Ebron,3,5,43,14.3,21,1,0,0,0,0,0,1,7.3,7.3,0.0%,FA,2,2020
25,Dallas Goedert,4,8,30,7.5,11,0,0,0,0,0,0,1,7.0,7.0,86.6%,PHI,2,2020
26,Logan Thomas,4,9,26,6.5,10,0,0,0,0,0,0,1,6.6,6.6,0.1%,FA,2,2020
27,Blake Bell,2,3,34,17.0,24,1,0,0,0,0,0,1,5.4,5.4,0.0%,FA,2,2020
28,Dan Arnold,2,4,26,13.0,20,1,0,0,0,0,0,1,4.6,4.6,0.0%,FA,2,2020
29,Austin Hooper,2,4,22,11.0,11,0,0,0,0,0,0,1,4.2,4.2,0.2%,NE,2,2020
30,Foster Moreau,1,1,31,31.0,31,1,0,0,0,0,0,1,4.1,4.1,0.0%,NO,2,2020
31,Mark Andrews,1,3,29,29.0,29,1,0,0,0,0,0,1,3.9,3.9,99.8%,BAL,2,2020
32,Ryan Izzo,2,2,19,9.5,16,0,0,0,0,0,0,1,3.9,3.9,0.0%,FA,2,2020
33,Jimmy Graham,1,1,18,18.0,18,0,0,0,0,0,0,1,2.8,2.8,0.0%,FA,2,2020
34,Adam Trautman,1,1,17,17.0,17,0,0,0,0,0,0,1,2.7,2.7,0.1%,DEN,2,2020
35,Josh Hill,1,2,16,16.0,16,0,0,0,0,0,0,1,2.6,2.6,0.0%,FA,2,2020
36,Dawson Knox,1,3,36,36.0,36,1,0,0,0,0,1,1,2.6,2.6,3.6%,BUF,2,2020
37,Harrison Bryant,1,2,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,0.0%,LV,2,2020
38,Cole Kmet,1,1,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,56.2%,CHI,2,2020
39,Nick Boyle,1,1,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,FA,2,2020
40,O.J. Howard,1,3,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,FA,2,2020
41,Kaden Smith,2,3,-1,-0.5,2,0,0,0,0,0,0,1,1.9,1.9,0.0%,FA,2,2020
42,Will Dissly,1,1,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.6%,LAC,2,2020
43,Chris Manhertz,1,1,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,NYG,2,2020
44,Ross Dwelley,1,1,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.0%,ATL,2,2020
45,Chris Herndon IV,1,4,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,2,2020
46,Marcedes Lewis,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,CHI,2,2020
47,Adam Shaheen,1,2,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,FA,2,2020
48,Vance McDonald,1,2,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.0%,FA,2,2020
49,Irv Smith Jr.,1,4,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.1%,FA,2,2020
50,Jason Witten,1,1,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.0%,FA,2,2020
51,Marcus Baugh,1,1,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.0%,FA,2,2020
52,Antonio Gandy-Golden,1,1,3,3.0,3,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
53,Devin Asiasi,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
54,Trevon Wesco,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
55,Jace Sternberger,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
56,Stephen Carlson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CHI,2,2020
57,Andrew Beck,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,GB,2,2020
58,Charlie Woerner,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,2,2020
59,Noah Togiai,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
60,Ben Ellefson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
61,Sean McKeon,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,2,2020
62,Farrod Green,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
63,Derek Carrier,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
64,Kyle Rudolph,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
65,Luke Stocker,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
66,Virgil Green,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
67,Bruce Miller,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
68,Richard Rodgers,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
69,Levine Toilolo,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
70,Luke Willson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
71,Ryan Griffin,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
72,Demetrius Harris,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
73,Greg Olsen,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,7.0%,FA,2,2020
74,Clark Harris,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
75,Rob Gronkowski,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.5%,FA,2,2020
76,Jeremy Sprinkle,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
77,Jacob Hollister,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
78,Cethan Carter,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
79,Darrell Daniels,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
80,Johnny Mundt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.5%,MIN,2,2020
81,Gerald Everett,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%,CHI,2,2020
82,Jake Butt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,2,2020
83,J.P. Holtz,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
84,Zach Wood,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NO,2,2020
85,Tanner Hudson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,CIN,2,2020
86,Tyler Conklin,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,29.0%,NYJ,2,2020
87,N'Keal Harry,8,12,72,9.0,17,0,0,0,0,0,0,1,0.0,0.0,0.0%,MIN,2,2020
88,Jaeden Graham,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
89,Nick Keizer,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
90,Taysom Hill,0,0,0,0.0,0,0,0,2,8,0,0,1,0.0,0.0,45.9%,NO,2,2020
91,Colin Thompson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
92,Durham Smythe,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,MIA,2,2020
93,Jordan Thomas,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
94,Ian Thomas,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CAR,2,2020
95,Kyle Nelson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
96,MyCole Pruitt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,PIT,2,2020
97,Tyler Kroft,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
98,Jesse James,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
99,Cameron Brate,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.0%,FA,2,2020
100,Beau Brinkley,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,FA,2,2020
101,James Winchester,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,KC,2,2020
102,Tyler Ott,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,2,2020
103,Patrick Scales,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CHI,2,2020
104,Nick Vannett,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TEN,2,2020
105,Stephen Anderson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
106,Daniel Brown,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2020
