Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Brandin Cooks,11,16,166,15.1,38,4,2,0,0,0,0,1,39.6,39.6,30.9%,DAL,17,2020
2,Marvin Jones Jr.,8,11,180,22.5,43,5,2,0,0,0,0,1,38.0,38.0,0.0%,FA,17,2020
3,Antonio Brown,11,15,138,12.5,30,3,2,0,0,0,0,1,36.8,36.8,0.8%,FA,17,2020
4,Sterling Shepard,8,10,112,14.0,21,2,1,2,24,1,0,1,33.6,33.6,0.0%,TB,17,2020
5,Tyler Lockett,12,14,90,7.5,26,1,2,0,0,0,0,1,33.0,33.0,67.6%,SEA,17,2020
6,A.J. Brown,10,11,151,15.1,52,3,1,0,0,0,0,1,31.1,31.1,100.0%,PHI,17,2020
7,Isaiah McKenzie,6,9,65,10.8,19,0,2,2,0,0,0,1,30.5,30.5,0.0%,NYG,17,2020
8,Chris Godwin,5,7,133,26.6,47,3,2,0,0,0,0,1,30.3,30.3,92.8%,TB,17,2020
9,Jerry Jeudy,5,7,140,28.0,92,2,1,0,0,0,0,1,27.0,27.0,57.0%,CLE,17,2020
10,Russell Gage,9,10,91,10.1,19,0,1,1,11,0,0,1,25.2,25.2,0.0%,FA,17,2020
11,Laviska Shenault Jr.,6,9,68,11.3,21,1,2,1,-2,0,0,1,24.6,24.6,0.1%,SEA,17,2020
12,Mike Williams,6,7,108,18.0,48,2,1,0,0,0,0,1,22.8,22.8,57.9%,NYJ,17,2020
13,Justin Jefferson,9,12,133,14.8,38,1,0,0,0,0,0,1,22.3,22.3,100.0%,MIN,17,2020
14,Emmanuel Sanders,9,13,63,7.0,9,0,1,0,0,0,0,1,21.3,21.3,0.0%,FA,17,2020
15,Marquise Brown,5,8,41,8.2,18,0,2,0,0,0,0,1,21.1,21.1,76.0%,KC,17,2020
16,Chase Claypool,5,11,101,20.2,41,2,1,0,0,0,0,1,21.1,21.1,0.1%,FA,17,2020
17,Darnell Mooney,11,13,93,8.5,53,1,0,0,0,0,0,1,20.3,20.3,40.2%,ATL,17,2020
18,Curtis Samuel,7,11,118,16.9,33,3,0,3,3,0,0,1,19.1,19.1,55.7%,BUF,17,2020
