Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,DK Metcalf,12,15,161,13.4,46,2,2,0,0,0,0,1,40.1,40.1,99.1%,SEA,8,2020
2,Davante Adams,7,11,53,7.6,15,0,3,0,0,0,0,1,30.3,30.3,99.8%,LV,8,2020
3,Robert Woods,7,8,85,12.1,26,1,1,2,9,1,0,1,28.4,28.4,0.1%,HOU,8,2020
4,Corey Davis,8,10,128,16.0,27,3,1,0,0,0,0,1,26.8,26.8,0.0%,FA,8,2020
5,Tyreek Hill,4,6,98,24.5,41,2,2,0,0,0,0,1,25.8,25.8,100.0%,MIA,8,2020
6,Brandon Aiyuk,8,10,91,11.4,33,1,1,0,0,0,0,1,23.1,23.1,99.4%,SF,8,2020
7,Mecole Hardman Jr.,7,9,96,13.7,30,1,1,0,0,0,0,1,22.6,22.6,0.2%,KC,8,2020
8,Cooper Kupp,11,20,110,10.0,22,1,0,0,0,0,0,1,22.0,22.0,98.6%,LAR,8,2020
9,Keenan Allen,9,12,67,7.4,22,1,1,0,0,0,0,1,21.7,21.7,93.1%,CHI,8,2020
10,Curtis Samuel,4,5,31,7.8,29,1,1,3,23,1,0,1,21.4,21.4,55.7%,BUF,8,2020
11,Mike Williams,5,8,99,19.8,36,2,1,1,1,0,0,1,21.0,21.0,57.9%,NYJ,8,2020
12,Allen Robinson II,6,7,87,14.5,28,2,1,0,0,0,0,1,20.7,20.7,0.1%,DET,8,2020
13,Julio Jones,7,10,137,19.6,28,5,0,0,0,0,0,1,20.7,20.7,0.1%,FA,8,2020
14,Travis Fulgham,6,7,78,13.0,32,1,1,0,0,0,0,1,19.8,19.8,0.0%,FA,8,2020
15,Tyler Boyd,6,7,67,11.2,18,0,1,2,9,0,0,1,19.6,19.6,5.3%,TEN,8,2020
16,Marvin Jones Jr.,3,7,39,13.0,25,1,2,0,0,0,0,1,18.9,18.9,0.0%,FA,8,2020
17,DaeSean Hamilton,4,5,82,20.5,40,1,1,0,0,0,0,1,18.2,18.2,0.0%,FA,8,2020
