Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Josh Jacobs,25,93,3.7,14,0,3,4,6,46,11.5,0,0,1,35.9,35.9,99.4%,GB,1,2020
2,Christian McCaffrey,23,97,4.2,15,0,2,3,4,38,12.7,0,0,1,28.5,28.5,100.0%,SF,1,2020
3,Ezekiel Elliott,22,96,4.4,14,0,1,3,4,31,10.3,1,0,1,27.7,27.7,81.8%,DAL,1,2020
4,Nyheim Hines,7,28,4.0,12,0,1,8,8,45,5.6,1,0,1,27.3,27.3,0.3%,CLE,1,2020
5,Malcolm Brown,18,79,4.4,12,0,2,3,4,31,10.3,0,0,1,26.0,26.0,0.0%,FA,1,2020
6,Raheem Mostert,15,56,3.7,14,0,0,4,5,95,23.8,1,0,1,25.1,25.1,92.7%,MIA,1,2020
7,Chris Carson,6,21,3.5,11,0,0,6,6,45,7.5,2,0,1,24.6,24.6,0.3%,FA,1,2020
8,Alvin Kamara,12,16,1.3,6,0,1,5,8,51,10.2,1,0,1,23.7,23.7,98.5%,NO,1,2020
9,Dalvin Cook,12,50,4.2,12,0,2,1,2,-2,-2.0,0,0,1,21.8,21.8,12.7%,DAL,1,2020
10,David Johnson,11,77,7.0,19,0,1,3,4,32,10.7,0,0,1,19.9,19.9,0.0%,FA,1,2020
11,Clyde Edwards-Helaire,25,138,5.5,27,1,1,0,2,0,0.0,0,0,1,19.8,19.8,7.3%,KC,1,2020
12,Aaron Jones,16,66,4.1,15,0,1,4,6,10,2.5,0,0,1,17.6,17.6,96.1%,MIN,1,2020
13,Derrick Henry,31,116,3.7,13,0,0,3,3,15,5.0,0,0,1,16.1,16.1,99.9%,BAL,1,2020
14,Melvin Gordon III,15,78,5.2,25,1,1,3,3,8,2.7,0,1,1,15.6,15.6,0.0%,FA,1,2020
15,Peyton Barber,17,29,1.7,8,0,2,0,0,0,0.0,0,0,1,14.9,14.9,1.0%,FA,1,2020
16,Jonathan Taylor,9,22,2.4,9,0,0,6,6,67,11.2,0,0,1,14.9,14.9,99.9%,IND,1,2020
17,Kenyan Drake,16,60,3.8,11,0,1,2,2,5,2.5,0,0,1,14.5,14.5,0.0%,FA,1,2020
18,Adrian Peterson,14,93,6.6,21,1,0,3,3,21,7.0,0,0,1,14.4,14.4,2.4%,FA,1,2020
19,J.K. Dobbins,7,22,3.1,12,0,2,0,0,0,0.0,0,0,1,14.2,14.2,61.0%,LAC,1,2020
