Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Alvin Kamara,6,58,9.7,49,1,0,13,14,139,10.7,2,0,1,44.7,44.7,98.5%,NO,3,2020
2,Rex Burkhead,6,49,8.2,17,0,2,7,10,49,7.0,1,0,1,34.8,34.8,10.0%,FA,3,2020
3,Austin Ekeler,12,59,4.9,12,0,1,11,11,84,7.6,0,0,1,31.3,31.3,87.4%,WAS,3,2020
4,James Robinson,11,46,4.2,11,0,2,6,6,83,13.8,0,0,1,30.9,30.9,0.0%,FA,3,2020
5,Derrick Henry,26,119,4.6,16,0,2,2,3,11,5.5,0,0,1,27.0,27.0,99.9%,BAL,3,2020
6,Dalvin Cook,22,181,8.2,39,2,1,2,5,18,9.0,0,1,1,25.9,25.9,12.7%,DAL,3,2020
7,James Conner,18,109,6.1,25,1,1,4,5,40,10.0,0,0,1,24.9,24.9,94.4%,ARI,3,2020
8,Nick Chubb,19,108,5.7,25,2,2,1,1,2,2.0,0,0,1,24.0,24.0,83.5%,CLE,3,2020
9,Mike Davis,13,46,3.5,25,1,0,8,9,45,5.6,1,0,1,23.1,23.1,1.0%,FA,3,2020
10,Jeff Wilson Jr.,12,15,1.3,4,0,1,3,3,54,18.0,1,0,1,21.9,21.9,0.1%,MIA,3,2020
11,Darrell Henderson Jr.,20,114,5.7,14,0,1,1,3,6,6.0,0,0,1,19.0,19.0,5.0%,FA,3,2020
12,Clyde Edwards-Helaire,20,64,3.2,16,0,0,5,6,70,14.0,0,0,1,18.4,18.4,7.3%,KC,3,2020
13,Ezekiel Elliott,14,34,2.4,9,0,1,6,11,24,4.0,0,0,1,17.8,17.8,81.8%,DAL,3,2020
14,Jerick McKinnon,14,38,2.7,11,0,1,3,4,39,13.0,0,0,1,16.7,16.7,0.1%,FA,3,2020
15,Aaron Jones,16,69,4.3,19,0,1,2,4,17,8.5,0,0,1,16.6,16.6,96.1%,MIN,3,2020
16,Devin Singletary,13,71,5.5,17,0,0,4,5,50,12.5,0,0,1,16.1,16.1,87.8%,NYG,3,2020
17,Sony Michel,9,117,13.0,48,2,0,2,2,23,11.5,0,0,1,16.0,16.0,0.0%,FA,3,2020
18,Todd Gurley II,14,80,5.7,16,0,1,1,2,2,2.0,0,0,1,15.2,15.2,0.1%,FA,3,2020
19,Brian Hill,9,58,6.4,35,1,1,1,3,22,22.0,0,0,1,15.0,15.0,0.0%,FA,3,2020
20,Miles Sanders,18,95,5.3,19,0,0,4,8,12,3.0,0,0,1,14.7,14.7,8.5%,CAR,3,2020
21,Myles Gaskin,22,66,3.0,15,0,0,5,5,29,5.8,0,0,1,14.5,14.5,0.0%,MIN,3,2020
22,Kareem Hunt,16,46,2.9,11,0,0,2,3,18,9.0,1,0,1,14.4,14.4,0.2%,FA,3,2020
23,Jonathan Taylor,13,59,4.5,16,0,1,1,1,3,3.0,0,0,1,13.2,13.2,99.9%,IND,3,2020
24,Antonio Gibson,9,49,5.4,13,0,1,3,3,11,3.7,0,1,1,13.0,13.0,34.1%,NE,3,2020
25,David Johnson,13,23,1.8,5,0,1,2,3,23,11.5,0,0,1,12.6,12.6,0.0%,FA,3,2020
26,Chris Carson,14,64,4.6,23,1,0,3,3,12,4.0,0,0,1,10.6,10.6,0.3%,FA,3,2020
