Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tony Pollard,12,69,5.8,40,1,2,6,9,63,10.5,0,0,1,31.2,31.2,90.8%,TEN,15,2020
2,David Montgomery,32,146,4.6,19,0,2,1,2,16,16.0,0,0,1,29.2,29.2,95.7%,DET,15,2020
3,Dalvin Cook,24,132,5.5,20,1,1,5,5,27,5.4,0,0,1,26.9,26.9,12.7%,DAL,15,2020
4,J.D. McKissic,13,51,3.9,11,0,0,9,10,56,6.2,1,0,1,25.7,25.7,0.0%,FA,15,2020
5,Derrick Henry,24,147,6.1,33,1,1,2,2,5,2.5,0,0,1,25.2,25.2,99.9%,BAL,15,2020
6,Aaron Jones,20,145,7.3,46,1,1,3,4,13,4.3,0,0,1,24.8,24.8,96.1%,MIN,15,2020
7,David Johnson,8,27,3.4,8,0,0,11,11,106,9.6,0,0,1,24.3,24.3,0.0%,FA,15,2020
8,Melvin Gordon III,11,61,5.5,14,0,2,4,4,20,5.0,0,0,1,24.1,24.1,0.0%,FA,15,2020
9,Giovani Bernard,25,83,3.3,11,0,1,1,1,14,14.0,1,0,1,22.7,22.7,0.0%,FA,15,2020
10,D'Andre Swift,15,67,4.5,11,0,2,4,5,15,3.8,0,1,1,22.2,22.2,94.7%,CHI,15,2020
11,Salvon Ahmed,23,122,5.3,31,1,1,1,3,5,5.0,0,0,1,21.7,21.7,0.0%,FA,15,2020
12,Leonard Fournette,14,49,3.5,17,0,2,3,5,16,5.3,0,0,1,21.5,21.5,2.1%,FA,15,2020
13,Josh Jacobs,26,76,2.9,20,1,1,3,3,38,12.7,0,0,1,20.4,20.4,99.4%,GB,15,2020
14,Benny Snell Jr.,18,84,4.7,29,1,1,3,4,23,7.7,0,0,1,19.7,19.7,0.0%,FA,15,2020
15,Jonathan Taylor,16,83,5.2,14,0,1,4,5,12,3.0,0,0,1,19.5,19.5,99.9%,IND,15,2020
16,Alvin Kamara,11,54,4.9,11,0,0,3,6,40,13.3,1,0,1,18.4,18.4,98.5%,NO,15,2020
17,Ty Johnson,3,16,5.3,7,0,0,6,6,39,6.5,1,0,1,17.5,17.5,0.9%,BUF,15,2020
18,Devin Singletary,8,68,8.5,51,1,1,3,3,16,5.3,0,0,1,17.4,17.4,87.8%,NYG,15,2020
19,Chase Edmonds,11,47,4.3,16,0,0,3,5,19,6.3,1,0,1,15.6,15.6,0.3%,TB,15,2020
20,J.K. Dobbins,14,64,4.6,11,0,1,1,1,17,17.0,0,0,1,15.1,15.1,61.0%,LAC,15,2020
21,Nick Chubb,15,50,3.3,15,0,1,2,2,16,8.0,0,0,1,14.6,14.6,83.5%,CLE,15,2020
22,Le'Veon Bell,15,62,4.1,12,0,1,1,1,14,14.0,0,0,1,14.6,14.6,0.2%,FA,15,2020
23,Carlos Hyde,2,55,27.5,50,1,1,2,3,8,4.0,0,0,1,14.3,14.3,0.0%,FA,15,2020
24,James Robinson,16,35,2.2,11,0,0,3,3,18,6.0,1,0,1,14.3,14.3,0.0%,FA,15,2020
25,Darrynton Evans,8,30,3.8,9,0,0,2,2,27,13.5,1,0,1,13.7,13.7,0.0%,BUF,15,2020
26,Frank Gore,23,59,2.6,8,0,1,1,1,6,6.0,0,0,1,13.5,13.5,12.1%,FA,15,2020
27,Jeff Wilson Jr.,16,60,3.8,12,0,1,0,4,0,0.0,0,0,1,12.0,12.0,0.1%,MIA,15,2020
28,Austin Ekeler,13,60,4.6,27,1,0,4,4,19,4.8,0,0,1,11.9,11.9,87.4%,WAS,15,2020
29,Latavius Murray,4,3,0.8,3,0,0,2,3,26,13.0,1,0,1,10.9,10.9,0.0%,FA,15,2020
30,Miles Sanders,17,64,3.8,10,0,0,1,2,26,26.0,0,0,1,10.0,10.0,8.5%,CAR,15,2020
31,Gus Edwards,9,42,4.7,7,0,0,2,2,36,18.0,0,0,1,9.8,9.8,78.0%,LAC,15,2020
32,James White,2,3,1.5,4,0,0,4,4,52,13.0,0,0,1,9.5,9.5,0.1%,FA,15,2020
33,Clyde Edwards-Helaire,14,79,5.6,16,0,0,1,2,4,4.0,0,0,1,9.3,9.3,7.3%,KC,15,2020
34,Sony Michel,10,74,7.4,17,0,0,1,1,8,8.0,0,0,1,9.2,9.2,0.0%,FA,15,2020
35,Chris Carson,15,63,4.2,13,0,0,2,3,6,3.0,0,0,1,8.9,8.9,0.3%,FA,15,2020
36,Matt Breida,12,86,7.2,24,1,0,0,0,0,0.0,0,0,1,8.6,8.6,0.0%,FA,15,2020
37,Zack Moss,13,81,6.2,26,1,0,0,0,0,0.0,0,0,1,8.1,8.1,85.3%,CIN,15,2020
38,Mike Davis,14,59,4.2,12,0,0,2,2,2,1.0,0,0,1,8.1,8.1,1.0%,FA,15,2020
39,Rodney Smith,4,23,5.8,12,0,0,3,4,24,8.0,0,0,1,7.7,7.7,0.0%,FA,15,2020
40,Phillip Lindsay,11,38,3.5,10,0,0,3,3,7,2.3,0,0,1,7.5,7.5,0.0%,FA,15,2020
41,Nyheim Hines,5,43,8.6,23,1,0,2,3,11,5.5,0,0,1,7.4,7.4,0.3%,CLE,15,2020
42,Cam Akers,15,63,4.2,11,0,0,1,3,-1,-1.0,0,0,1,7.2,7.2,1.5%,HOU,15,2020
43,Kalen Ballage,8,11,1.4,9,0,1,0,0,0,0.0,0,0,1,7.1,7.1,0.0%,FA,15,2020
44,Raheem Mostert,14,68,4.9,17,0,0,0,0,0,0.0,0,0,1,6.8,6.8,92.7%,MIA,15,2020
45,Peyton Barber,4,5,1.3,4,0,1,0,1,0,0.0,0,0,1,6.5,6.5,1.0%,FA,15,2020
46,Keith Smith,0,0,0.0,0,0,0,3,3,32,10.7,0,0,1,6.2,6.2,0.0%,FA,15,2020
